Name,Nationality,Overall,Club,Value,Position
L. Coyle,England,65,Fleetwood Town,€700K,RB
C. Long,England,65,Fleetwood Town,€775K,ST
Nito Carbelho,Brazil,65,Fluminense,€600K,ST
D. Boldor,Romania,65,Foggia,€600K,CB
A. Gerbo,Italy,65,Foggia,€550K,RM
G. Gunning,Republic of Ireland,65,Forest Green Rovers,€450K,CB
J. Mills,England,65,Forest Green Rovers,€425K,LB
L. James,Wales,65,Forest Green Rovers,€500K,RDM
R. Reid,England,65,Forest Green Rovers,€550K,ST
A. Dobos,Hungary,65,Fortuna Sittard,€1.1M,CAM
M. Ospitalieri,Belgium,65,Fortuna Sittard,€525K,LB
A. Ciranni,Belgium,65,Fortuna Sittard,€650K,RB
N. Miatke,Germany,65,FSV Zwickau,€550K,LM
A. Barylla,Germany,65,FSV Zwickau,€675K,RCB
J. Reinhardt,Germany,65,FSV Zwickau,€400K,RDM
C. Bickel,Germany,65,FSV Zwickau,€575K,RM
R. König,Germany,65,FSV Zwickau,€250K,RS
T. Nishino,Japan,65,Gamba Osaka,€625K,CB
Oh Jae Suk,Korea Republic,65,Gamba Osaka,€425K,RB
Ham Seok Min,Korea Republic,65,Gangwon FC,€550K,GK
O. Ba,Senegal,65,GFC Ajaccio,€725K,LCB
W. Eskelinen,Sweden,65,GIF Sundsvall,€775K,GK
G. Zakuani,DR Congo,65,Gillingham,€300K,LCB
L. Perdomo,Argentina,65,Gimnasia y Esgrima La Plata,€775K,CDM
Roger Figueras,Spain,65,Gimnàstic de Tarragona,€775K,CB
Pol Valentín,Spain,65,Gimnàstic de Tarragona,€1.1M,RB
J. Mejías,Venezuela,65,Gimnàstic de Tarragona,€925K,RCB
I. Ramírez,Paraguay,65,Godoy Cruz,€625K,CDM
R. Ramírez,Argentina,65,Godoy Cruz,€675K,GK
Dani Suárez,Spain,65,Górnik Zabrze,€450K,RCB
S. Matuszek,Poland,65,Górnik Zabrze,€425K,RCM
Adri Castellano,Spain,65,Granada CF,€650K,LB
J. Rhyner,Switzerland,65,Grasshopper Club Zürich,€850K,CB
Nathan,Brazil,65,Grasshopper Club Zürich,€650K,CB
N. Lavanchy,Switzerland,65,Grasshopper Club Zürich,€600K,RB
J. Ngoy,Belgium,65,Grasshopper Club Zürich,€1.1M,RM
Marcelo Vildeia,Brazil,65,Grêmio,€280K,ST
J. Jigauri,Georgia,65,Grenoble Foot 38,€675K,CAM
J. Benet,France,65,Grenoble Foot 38,€775K,CM
B. Maubleu,France,65,Grenoble Foot 38,€450K,GK
F. Boyer,Madagascar,65,Grenoble Foot 38,€500K,LB
E. Vandenabeele,France,65,Grenoble Foot 38,€550K,RCB
J. Welsh,England,65,Grimsby Town,€160K,CDM
B. Pringle,England,65,Grimsby Town,€525K,LM
W. Thomas,England,65,Grimsby Town,€475K,LS
F. Beltrán,Mexico,65,Guadalajara,€875K,CM
J. Godínez,Mexico,65,Guadalajara,€1.1M,ST
Liu Dianzuo,China PR,65,Guangzhou Evergrande Taobao FC,€375K,GK
Ding Haifeng,China PR,65,Guangzhou R&F; FC,€525K,LB
Fan Yunlong,China PR,65,Guizhou Hengfeng FC,€525K,LM
Woo Ju Sung,Korea Republic,65,Gyeongnam FC,€550K,RB
P. Sohm,Germany,65,Hallescher FC,€650K,LS
J. Washausen,Germany,65,Hallescher FC,€425K,RDM
M. Ajani,Germany,65,Hallescher FC,€675K,RM
M. Fetsch,Germany,65,Hallescher FC,€550K,RS
T. Mickel,Germany,65,Hamburger SV,€375K,GK
D. Bates,Scotland,65,Hamburger SV,€775K,RCB
F. Brustad,Norway,65,Hamilton Academical FC,€550K,ST
K. Bak?rc?o?lu,Sweden,65,Hammarby IF,€170K,CM
H. Weydandt,Germany,65,Hannover 96,€775K,ST
A. Hughes,Northern Ireland,65,Heart of Midlothian,€70K,CB
B. Garuccio,Australia,65,Heart of Midlothian,€650K,LB
Zhao Yuhao,China PR,65,Hebei China Fortune FC,€625K,CDM
Gao Zhunyi,China PR,65,Hebei China Fortune FC,€725K,RCB
Hu Rentian,China PR,65,Hebei China Fortune FC,€575K,RW
S. Calvano,Italy,65,Hellas Verona,€675K,CM
J. Balkovec,Slovenia,65,Hellas Verona,€625K,LB
Hu Jinghang,China PR,65,Henan Jianye FC,€825K,ST
D. Van den Buijs,Belgium,65,Heracles Almelo,€625K,LCB
D. McGregor,Scotland,65,Hibernian,€300K,CB
O. Marciano,Israel,65,Hibernian,€450K,GK
A. Annan,Ghana,65,HJK Helsinki,€375K,RCM
Y. Amankwah,Norway,65,Hobro IK,€425K,RCB
E. Sabbi,United States,65,Hobro IK,€950K,RS
A. Fukumori,Japan,65,Hokkaido Consadole Sapporo,€600K,LCB
R. Shindo,Japan,65,Hokkaido Consadole Sapporo,€625K,RCB
J. Bothroyd,England,65,Hokkaido Consadole Sapporo,€190K,ST
T. Miyayoshi,Japan,65,Hokkaido Consadole Sapporo,€650K,ST
M. Honsak,Austria,65,Holstein Kiel,€800K,LM
J. Serra,Germany,65,Holstein Kiel,€1.1M,LS
E. Alexander,United States,65,Houston Dynamo,€400K,CDM
D. Remick,United States,65,Houston Dynamo,€500K,LB
A. Alvarez,El Salvador,65,Houston Dynamo,€325K,RM
A. Sabiri,Germany,65,Huddersfield Town,€925K,LM
A. Dyer,Montserrat,65,IF Elfsborg,€525K,CM
R. Gojani,Sweden,65,IF Elfsborg,€675K,CM
S. Olsson,Sweden,65,IF Elfsborg,€875K,RCM
D. Boysen,Denmark,65,IF Elfsborg,€575K,RM
C. Starfelt,Sweden,65,IFK Göteborg,€625K,RCB
P. Haglund,Sweden,65,IK Sirius,€475K,CAM
N. Busch Thor,Sweden,65,IK Sirius,€300K,CDM
S. Lundholm,Sweden,65,IK Sirius,€725K,RM
J. Deumeland,Germany,65,IK Start,€350K,GK
H. Opdal,Norway,65,IK Start,€70K,GK
E. Käck,Sweden,65,IK Start,€425K,LWB
Han Seok Jong,Korea Republic,65,Incheon United FC,€650K,CM
Kim Yong Hwan,Korea Republic,65,Incheon United FC,€575K,LB
Kwak Hae Seong,Korea Republic,65,Incheon United FC,€525K,RB
Kim Jin Ya,Korea Republic,65,Incheon United FC,€975K,RCB
C. Benavídez,Uruguay,65,Independiente,€775K,CDM
G. Rehak,Argentina,65,Independiente,€525K,GK
M. Álvarez,Argentina,65,Independiente,€450K,GK
M. Solís,Colombia,65,Independiente Santa Fe,€130K,GK
E. Harrison,Wales,65,Ipswich Town,€650K,ST
K. Jackson,England,65,Ipswich Town,€700K,ST
J. Córdoba,Colombia,65,Itagüí Leones FC,€400K,CDM
S. Gomez,Colombia,65,Itagüí Leones FC,€850K,LDM
Y. Mena,Colombia,65,Itagüí Leones FC,€550K,ST
R. Grzyb,Poland,65,Jagiellonia Bia?ystok,€130K,CDM
R. Aponzá,Colombia,65,Jaguares de Córdoba,€525K,CAM
J. Mezú,Colombia,65,Jaguares de Córdoba,€550K,CAM
A. Hinestroza,Colombia,65,Jaguares de Córdoba,€425K,LDM
O. García,Colombia,65,Jaguares de Córdoba,€650K,LM
Ryu Seung Woo,Korea Republic,65,Jeju United FC,€750K,CAM
Kweon Han Jin,Korea Republic,65,Jeju United FC,€400K,RCB
Bae Il Hwan,Korea Republic,65,Jeju United FC,€525K,RW
Park Won Jae,Korea Republic,65,Jeonbuk Hyundai Motors,€150K,LB
Jeong Hyuk,Korea Republic,65,Jeonbuk Hyundai Motors,€400K,LCM
Ka Sol Heon,Korea Republic,65,Jeonnam Dragons,€450K,CB
Heo Yong Joon,Korea Republic,65,Jeonnam Dragons,€675K,LW
Yang Jun A,Korea Republic,65,Jeonnam Dragons,€425K,RCB
Lee You Hyeon,Korea Republic,65,Jeonnam Dragons,€875K,RW
L. Narváez,Colombia,65,Junior FC,€220K,CDM
E. Serje,Colombia,65,Junior FC,€650K,CDM
L. Escalante,Colombia,65,Junior FC,€575K,LM
P. Azango,Nigeria,65,KAA Gent,€850K,LW
A. Koita,Belgium,65,KAA Gent,€950K,LW
T. Hadebe,Zimbabwe,65,Kaizer Chiefs,€750K,CB
V. Vries,Namibia,65,Kaizer Chiefs,€450K,GK
K. Moleko,South Africa,65,Kaizer Chiefs,€425K,RB
H. Ekstein,South Africa,65,Kaizer Chiefs,€625K,RM
V. Agardius,Sweden,65,Kalmar FF,€500K,LCB
M. Dyrestam,Sweden,65,Kalmar FF,€550K,RB
M. Röser,Germany,65,Karlsruher SC,€575K,LM
M. Stiefler,Germany,65,Karlsruher SC,€525K,RCM
B. Çamo?lu,Turkey,65,Karlsruher SC,€775K,RM
S. Sané,Germany,65,Karlsruher SC,€675K,ST
D. Diagné,Senegal,65,KAS Eupen,€625K,CDM
S. Gnaka,Ivory Coast,65,KAS Eupen,€900K,LB
M. Ogasawara,Japan,65,Kashima Antlers,€40K,CDM
H. Otani,Japan,65,Kashiwa Reysol,€220K,RDM
E. Birniçan,Turkey,65,Kasimpa?a SK,€375K,GK
S. Arai,Japan,65,Kawasaki Frontale,€375K,GK
O. Berber,Turkey,65,Kayserispor,€550K,LB
M. Erb,Germany,65,KFC Uerdingen 05,€500K,CB
T. Öztürk,Germany,65,KFC Uerdingen 05,€450K,LDM
S. Yesil,Germany,65,KFC Uerdingen 05,€725K,ST
A. Tshibola,DR Congo,65,Kilmarnock,€700K,CM
A. Power,Republic of Ireland,65,Kilmarnock,€400K,LCM
Iván Márquez,Spain,65,Korona Kielce,€625K,CB
A. Coly,Senegal,65,Kristiansund BK,€550K,RB
A. Hopmark,Norway,65,Kristiansund BK,€550K,RCB
A. Batsula,Ukraine,65,KV Kortrijk,€525K,CB
L. Rougeaux,France,65,KV Kortrijk,€575K,RB
A. Raineau,France,65,La Berrichonne de Châteauroux,€300K,LB
Y. M'Bone,Cameroon,65,La Berrichonne de Châteauroux,€600K,LCB
R. Boukari,Togo,65,La Berrichonne de Châteauroux,€475K,RW
M. Vázquez,Argentina,65,La Equidad,€700K,CAM
J. Cano,Colombia,65,La Equidad,€120K,RB
F. Jamnig,Austria,65,LASK Linz,€575K,RM
S. Tetteh,Ghana,65,LASK Linz,€850K,ST
L. Filippini,Italy,65,Lazio,€600K,LB
Y. Thuram,France,65,Le Havre AC,€375K,GK
L. Di Matteo,Italy,65,Lecce,€400K,LB
M. Scavone,Italy,65,Lecce,€475K,LCM
J. Petriccione,Italy,65,Lecce,€725K,RCM
Steven Vitória,Canada,65,Lechia Gda?sk,€375K,CB
A. Borysiuk,Poland,65,Lechia Gda?sk,€550K,CDM
B. Augustyn,Poland,65,Lechia Gda?sk,€400K,LCB
M. Mak,Poland,65,Lechia Gda?sk,€575K,LM
S. Peszko,Poland,65,Lechia Gda?sk,€325K,LM
C. Elder,Australia,65,Leicester City,€650K,LB
Fran Manzanara,Spain,65,Levante UD,€775K,CDM
A. Smárason,Iceland,65,Lillestrøm SK,€525K,CAM
F. Kippe,Norway,65,Lillestrøm SK,€0,LCB
D. Pedersen,Denmark,65,Lillestrøm SK,€600K,LCM
T. Lehne Olsen,Norway,65,Lillestrøm SK,€625K,ST
J. Vickers,England,65,Lincoln City,€675K,GK
H. Toffolo,England,65,Lincoln City,€600K,LB
Bruno Andrade,Portugal,65,Lincoln City,€675K,LM
M. O'Connor,Northern Ireland,65,Lincoln City,€500K,RCM
J. Akinde,England,65,Lincoln City,€550K,ST
S. Lawson,Togo,65,Livingston FC,€625K,CDM
R. De Vita,Italy,65,Livingston FC,€500K,LM
L. Miller,Scotland,65,Livingston FC,€250K,ST
Maicon,Brazil,65,Livorno,€650K,RM
A. Duarte,Peru,65,Lobos BUAP,€525K,GK
O. Rojas,Mexico,65,Lobos BUAP,€60K,RB
N. Medvedev,Russia,65,Lokomotiv Moscow,€625K,GK
João Moutinho,Portugal,65,Los Angeles FC,€1.1M,LB
J. Pérez,United States,65,Los Angeles FC,€1.2M,RW
K. Dabila,Ivory Coast,65,LOSC Lille,€775K,CB
A. McCormack,Republic of Ireland,65,Luton Town,€160K,CDM
L. Berry,England,65,Luton Town,€675K,CM
K. Bare,Albania,65,Málaga CF,€850K,CAM
C. Gribbin,England,65,Manchester United,€1.2M,CAM
E. Hamilton,Scotland,65,Manchester United,€1M,CM
T. Chong,Netherlands,65,Manchester United,€1.1M,RW
D. Mirfin,England,65,Mansfield Town,€220K,CB
M. Benning,England,65,Mansfield Town,€575K,LWB
T. Walker,England,65,Mansfield Town,€875K,RS
C. Davies,Wales,65,Mansfield Town,€425K,ST
M. Birighitti,Australia,65,Melbourne City FC,€425K,GK
N. Ansell,Australia,65,Melbourne Victory,€625K,CB
C. Valeri,Australia,65,Melbourne Victory,€220K,CDM
S. Roux,New Zealand,65,Melbourne Victory,€575K,RB
L. Wing,England,65,Middlesbrough,€750K,CM
A. Lonergan,England,65,Middlesbrough,€220K,GK
H. Chapman,England,65,Middlesbrough,€1.2M,LW
Omar Santana,Spain,65,Mied? Legnica,€575K,CAM
T. Boži?,Croatia,65,Mied? Legnica,€400K,CB
R. Augustyniak,Poland,65,Mied? Legnica,€600K,CDM
Marquitos,Spain,65,Mied? Legnica,€475K,CM
Juan Cámara,Spain,65,Mied? Legnica,€725K,LM
A. Figueroa,Colombia,65,Millonarios FC,€400K,LCB
O. Cissé,Mali,65,Milton Keynes Dons,€500K,CDM
B. Cargill,England,65,Milton Keynes Dons,€825K,LCB
M. Burch,United States,65,Minnesota United FC,€150K,LB
E. Miller,United States,65,Minnesota United FC,€575K,RB
D. Chima Chukwu,Nigeria,65,Molde FK,€625K,ST
B. Passi,France,65,Montpellier HSC,€825K,CB
C. Duvall,United States,65,Montreal Impact,€525K,RB
A. Jackson-Hamel,Canada,65,Montreal Impact,€725K,ST
Q. Amarikwa,United States,65,Montreal Impact,€525K,ST
A. Wildig,England,65,Morecambe,€625K,LDM
C. McHugh,Republic of Ireland,65,Motherwell,€550K,CDM
G. Bigirimana,England,65,Motherwell,€700K,RCM
T. Albutat,Germany,65,MSV Duisburg,€600K,CDM
E. Hajri,Tunisia,65,MSV Duisburg,€120K,RB
G. Nijholt,Netherlands,65,NAC Breda,€450K,LCM
A. Verschueren,Belgium,65,NAC Breda,€600K,RCM
M. Rosheuvel,Netherlands,65,NAC Breda,€575K,RM
F. Sporkslede,Netherlands,65,NAC Breda,€575K,RWB
S. Narazaki,Japan,65,Nagoya Grampus,€40K,GK
K. Miyahara,Japan,65,Nagoya Grampus,€700K,RB
C. Pickel,Switzerland,65,Neuchâtel Xamax,€1.1M,LDM
G. Treand,France,65,Neuchâtel Xamax,€425K,LM
G. Karlen,Switzerland,65,Neuchâtel Xamax,€700K,ST
B. Knighton,United States,65,New England Revolution,€270K,GK
C. Cropper,United States,65,New England Revolution,€500K,GK
S. Ibeagha,Nigeria,65,New York City FC,€600K,CB
R. Wallace,Costa Rica,65,New York City FC,€500K,LW
N. Topor-Stanley,Australia,65,Newcastle Jets,€220K,LCB
D. Georgievski,FYR Macedonia,65,Newcastle Jets,€400K,RB
B. Rivero,Argentina,65,Newell's Old Boys,€750K,CDM
F. Fydriszewski,Argentina,65,Newell's Old Boys,€725K,ST
G. Paquiez,France,65,Nîmes Olympique,€575K,RB
K. van Veen,Netherlands,65,Northampton Town,€625K,LS
D. Jones,England,65,Notts County,€350K,LB
C. Evina,Cameroon,65,Notts County,€450K,LB
K. Hemmings,England,65,Notts County,€650K,ST
T. Børven,Norway,65,Odds BK,€650K,ST
R. Laursen,Denmark,65,Odense Boldklub,€550K,RWB
E. Šipovi?,Bosnia Herzegovina,65,Ohod Club,€500K,RCB
C. Ohene,Ghana,65,Ohod Club,€575K,RCM
G. Nepomuceno,Curacao,65,Oldham Athletic,€650K,LM
G. Perea,Colombia,65,Once Caldas,€550K,CB
S. Román,Colombia,65,Once Caldas,€625K,GK
J. Rodríguez,Colombia,65,Once Caldas,€675K,LCM
C. Amaya,Colombia,65,Once Caldas,€575K,ST
M. Almebäck,Sweden,65,Örebro SK,€400K,CB
M. Lorentzson,Sweden,65,Örebro SK,€220K,LCB
F. Rogic,Sweden,65,Örebro SK,€675K,LW
M. Omoh,Nigeria,65,Örebro SK,€575K,RW
S. O'Neill,United States,65,Orlando City SC,€625K,RCB
I. Maela,South Africa,65,Orlando Pirates,€550K,LB
H. Jele,South Africa,65,Orlando Pirates,€375K,LCB
N. Nyauza,South Africa,65,Orlando Pirates,€425K,RB
M. Dube,South Africa,65,Orlando Pirates,€550K,RWB
D. Bergqvist,Sweden,65,Östersunds FK,€600K,CM
R. Amin,Netherlands,65,Östersunds FK,€750K,CM
A. Keita,Guinea,65,Östersunds FK,€325K,GK
N. Sonko Sundberg,Sweden,65,Östersunds FK,€650K,RCB
J. Hanson,England,65,Oxford United,€825K,CDM
C. Nelson,England,65,Oxford United,€650K,RCB
D. Marcandella,Italy,65,Padova,€850K,CAM
D. Merelli,Italy,65,Padova,€550K,GK
S. Salviato,Italy,65,Padova,€400K,RB
S. Lo Faso,Italy,65,Palermo,€1.2M,CF
L. Fiordilino,Italy,65,Palermo,€875K,CM
A. Kampetsis,Greece,65,Panathinaikos FC,€900K,ST
Paulito Zanon,Brazil,65,Paraná,€475K,CDM
J. López,Algeria,65,Paris FC,€575K,CAM
R. Kouamé,Mali,65,Paris FC,€925K,CM
D. Ovono,Gabon,65,Paris FC,€130K,GK
S. Karamoko,France,65,Paris FC,€550K,RB
C. Mandouki,France,65,Paris FC,€625K,RCM
Y. Adli,France,65,Paris Saint-Germain,€1.1M,CM
A. Otero,Colombia,65,Patriotas Boyacá FC,€220K,GK
M. Mosquera,Colombia,65,Patriotas Boyacá FC,€550K,LCB
K. Osorio,Colombia,65,Patriotas Boyacá FC,€700K,LCM
F. Ávila,Colombia,65,Patriotas Boyacá FC,€725K,LW
A. Sandona,Argentina,65,Patronato,€600K,LCB
D. Bouzanis,Australia,65,PEC Zwolle,€375K,GK
S. Monaco,Italy,65,Perugia,€525K,CB
M. Antonucci,Italy,65,Pescara,€1.2M,LW
L. Reed,England,65,Peterborough United,€825K,LCM
S. Dembele,Scotland,65,Peterborough United,€875K,LM
R. Bennett,England,65,Peterborough United,€475K,RCB
J. Bijol,Slovenia,65,PFC CSKA Moscow,€900K,CDM
W. Creavalle,Guyana,65,Philadelphia Union,€500K,CDM
J. McCarthy,United States,65,Philadelphia Union,€525K,GK
M. McKenzie,United States,65,Philadelphia Union,€900K,RCB
R. Edwards,England,65,Plymouth Argyle,€600K,CB
D. Fox,England,65,Plymouth Argyle,€160K,CDM
S. O'Keefe,England,65,Plymouth Argyle,€550K,CM
A. Smith-Brown,England,65,Plymouth Argyle,€700K,LB
J. Ness,Scotland,65,Plymouth Argyle,€600K,LCM
J. Riley,England,65,Plymouth Argyle,€525K,RB
T. Moore,England,65,Plymouth Argyle,€650K,RB
Rúben Lameiras,Portugal,65,Plymouth Argyle,€750K,RM
T. Ho?ota,Poland,65,Pogo? Szczecin,€450K,CDM
H. Matynia,Poland,65,Pogo? Szczecin,€650K,LB
Z. Kozulj,Bosnia Herzegovina,65,Pogo? Szczecin,€700K,RCM
Bae Seul Gi,Korea Republic,65,Pohang Steelers,€220K,CB
Teixeira José,Brazil,65,Pohang Steelers,€425K,RB
S. Brown,England,65,Port Vale,€270K,GK
L. Legge,England,65,Port Vale,€220K,RCB
D. Worrall,England,65,Port Vale,€550K,RM
Matheus Jesus,Brazil,65,Portimonense SC,€825K,CDM
Vítor Tormena,Brazil,65,Portimonense SC,€625K,RB
L. Olum,Kenya,65,Portland Timbers,€220K,CB
C. Paredes,Paraguay,65,Portland Timbers,€1.2M,CM
J. Gleeson,New Zealand,65,Portland Timbers,€425K,GK
S. Clark,United States,65,Portland Timbers,€300K,GK
J. Ebobisse,United States,65,Portland Timbers,€875K,ST
B. Close,England,65,Portsmouth,€925K,CM
D. Wheeler,England,65,Portsmouth,€575K,RM
J. Mason,Republic of Ireland,65,Portsmouth,€575K,ST
O. Hawkins,England,65,Portsmouth,€675K,ST
R. Ledson,England,65,Preston North End,€950K,CM
C. Woods,England,65,Preston North End,€350K,RB
E. Pimentel,Mexico,65,Puebla FC,€450K,CB
J. Espericueta,Mexico,65,Puebla FC,€700K,CM
P. González,Mexico,65,Puebla FC,€675K,CM
M. Ingram,England,65,Queens Park Rangers,€600K,GK
L. Romo,Mexico,65,Querétaro,€675K,LCB
J. Bellegarde,France,65,Racing Club de Lens,€925K,CDM
C. Bayala,Burkina Faso,65,Racing Club de Lens,€750K,RM
M. Aaquist,Denmark,65,Randers FC,€750K,CAM
K. Conboy,Denmark,65,Randers FC,€400K,LB
A. Ibsen Rømer,Denmark,65,Randers FC,€700K,LCM
B. Stokke,Norway,65,Randers FC,€575K,LS
R. McCrorie,Scotland,65,Rangers FC,€1.1M,CDM
E. Tønne,Norway,65,Ranheim Fotball,€575K,LW
Pastrana,Spain,65,RC Celta,€875K,LM
Damià,Spain,65,RCD Espanyol,€625K,CDM
Salva Ruíz,Spain,65,RCD Mallorca,€600K,LB
Ferrán Giner,Spain,65,RCD Mallorca,€500K,LM
Fran Gámez,Spain,65,RCD Mallorca,€525K,RB
P. Clement,Netherlands,65,Reading,€750K,CAM
A. Jaakkola,Finland,65,Reading,€325K,GK
S. Walker,England,65,Reading,€475K,GK
Fidalgo,Spain,65,Real Madrid,€875K,CM
F. Feuillassier,Argentina,65,Real Madrid,€1.2M,LW
Javi Hernández,Spain,65,Real Oviedo,€1.1M,CB
N. Besler,United States,65,Real Salt Lake,€600K,CB
S. Barry,United States,65,Real Salt Lake,€425K,RB
Guridi,Spain,65,Real Sociedad,€775K,CM
Noblejas,Spain,65,Real Sporting de Gijón,€600K,LB
Álvaro Traver,Spain,65,Real Sporting de Gijón,€675K,LM
N. Manzambi,Switzerland,65,Real Sporting de Gijón,€1.2M,ST
Carlos Nieto,Spain,65,Real Zaragoza,€625K,CB
F. Mendy,France,65,Red Star FC,€625K,RCB
J. Donisa,France,65,Red Star FC,€750K,ST
Ronan,Brazil,65,Rio Ave FC,€750K,ST
L. Mosquera,Colombia,65,Rionegro Águilas,€400K,LB
F. Viáfara,Colombia,65,Rionegro Águilas,€525K,RB
O. Franco,Paraguay,65,Rionegro Águilas,€700K,ST
A. Cannon,England,65,Rochdale,€825K,CM
L. Pellegrini,Italy,65,Roma,€1M,LB
J. Ayala,Argentina,65,Rosario Central,€350K,GK
M. Lundemo,Norway,65,Rosenborg BK,€750K,CM
A. Østbø,Norway,65,Rosenborg BK,€475K,GK
A. Gersbach,Australia,65,Rosenborg BK,€750K,LB
Z. Vyner,England,65,Rotherham United,€650K,RB
C. Diedhiou,Senegal,65,Royal Excel Mouscron,€400K,CB
J. Butez,France,65,Royal Excel Mouscron,€550K,GK
A. Katranis,Greece,65,Royal Excel Mouscron,€750K,LB
A. Sambi Lokonga,Belgium,65,RSC Anderlecht,€1.1M,RCM
Júnior Tavares,Brazil,65,Sampdoria,€725K,LB
Y. Quintana,Uruguay,65,San Jose Earthquakes,€675K,CB
J. Devecchi,Argentina,65,San Lorenzo de Almagro,€675K,GK
G. Rojas,Argentina,65,San Lorenzo de Almagro,€850K,LB
G. Sepúlveda,Chile,65,San Luis de Quillota,€425K,CDM
F. Milo,Argentina,65,San Martín de San Juan,€550K,LB
H. Da Campo,Argentina,65,San Martín de San Juan,€750K,LM
C. Mosca,Argentina,65,San Martín de San Juan,€550K,RCM
G. Villarruel,Argentina,65,San Martín de San Juan,€675K,RM
P. Alvarenga,Paraguay,65,San Martín de San Juan,€525K,ST
G. Castillejos,Argentina,65,San Martín de San Juan,€425K,ST
J. Vitale,Argentina,65,San Martin de Tucumán,€725K,CDM
F. Costa,Argentina,65,San Martin de Tucumán,€575K,LM
H. Petryk,Uruguay,65,San Martin de Tucumán,€650K,RB
A. Fernández,Uruguay,65,San Martin de Tucumán,€400K,RM
S. Ringstad,Norway,65,Sandefjord Fotball,€525K,LB
M. Fellah,Norway,65,Sandefjord Fotball,€525K,RM
F. Azemi,Norway,65,Sandefjord Fotball,€675K,ST
S. Inagaki,Japan,65,Sanfrecce Hiroshima,€650K,LCM
M. Kudo,Japan,65,Sanfrecce Hiroshima,€550K,ST
Kim Min Woo,Korea Republic,65,Sangju Sangmu FC,€550K,CM
Park Dae Han,Korea Republic,65,Sangju Sangmu FC,€450K,LB
Yoon Bit Garam,Korea Republic,65,Sangju Sangmu FC,€525K,LCM
Shim Dong Woon,Korea Republic,65,Sangju Sangmu FC,€525K,RCM
A. Arroyo,Panama,65,Santa Clara,€725K,ST
A. Castro,Mexico,65,Santos Laguna,€375K,CDM
K. Larsen,Norway,65,Sarpsborg 08 FF,€625K,LM
M. Lund Nielsen,Denmark,65,Sarpsborg 08 FF,€500K,RCM
H. Dahmani,Germany,65,SC Fortuna Köln,€500K,LM
R. Scheu,Germany,65,SC Fortuna Köln,€750K,RM
F. Kath,Germany,65,SC Freiburg,€700K,LM
S. Floranus,Netherlands,65,SC Heerenveen,€700K,RB
D. Schmidt,Netherlands,65,SC Heerenveen,€525K,RB
O. Schnitzler,Germany,65,SC Preußen Münster,€550K,GK
M. Schulze Niehues,Germany,65,SC Preußen Münster,€375K,GK
T. Rühle,Germany,65,SC Preußen Münster,€575K,LS
P. Hoffmann,Germany,65,SC Preußen Münster,€625K,RM
R. Dadashov,Azerbaijan,65,SC Preußen Münster,€650K,RS
J. Zwischenbrugger,Austria,65,SCR Altach,€450K,CB
E. Schreiner,Austria,65,SCR Altach,€400K,LB
J. Horsfield,England,65,Scunthorpe United,€675K,CDM
R. McArdle,Northern Ireland,65,Scunthorpe United,€375K,LCB
J. Clarke,England,65,Scunthorpe United,€525K,RB
Markel Areitio,Spain,65,SD Eibar,€775K,GK
L. Neagle,United States,65,Seattle Sounders FC,€475K,LM
B. Atik,Turkey,65,SG Dynamo Dresden,€750K,CAM
T. Röttger,Germany,65,SG Sonnenhof Großaspach,€425K,ST
Marquinhos Cipriano,Brazil,65,Shakhtar Donetsk,€1.2M,RM
A. Mannus,Northern Ireland,65,Shamrock Rovers,€70K,GK
Mao Jianqing,China PR,65,Shanghai Greenland Shenhua FC,€475K,LW
J. Thorniley,England,65,Sheffield Wednesday,€850K,CB
M. Fox,Wales,65,Sheffield Wednesday,€575K,LB
Y. Rokutan,Japan,65,Shimizu S-Pulse,€325K,GK
K. Matsubara,Japan,65,Shimizu S-Pulse,€650K,LB
K. Murata,Japan,65,Shimizu S-Pulse,€525K,RM
S. Fujita,Japan,65,Shonan Bellmare,€475K,RM
K. Ogawa,Japan,65,Shonan Bellmare,€650K,RM
